,tensor,cid
42,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1455-109f87b3124b4aa25e9a49c3712b50da
43,"[[-10.404653549194336, -12.805727005004883, -25.611454010009766, -396.17718505859375, -113.65082550048828, 0.0, -0.8003579378128052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8003579378128052]]",None-e956b418509df39eb3f2374e0de9e104
44,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1524-6e3448396e2ee63902a0af2aef147abd
45,"[[0.0, -0.008481129072606564, 0.0, 0.0, 0.0, -0.016962258145213127, -0.016962258145213127, 0.0, -0.05088677257299423, -0.05936790257692337, -0.04240564629435539, -0.025443386286497116, -0.025443386286497116, -0.008481129072606564, 0.0, -0.008481129072606564]]",1994-c1e0462dce94ea50450c87258ca8be83
46,"[[0.0, 0.0, -0.023205729201436043, 0.0, 0.0, -0.023205729201436043, -0.023205729201436043, -0.046411458402872086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023205729201436043, -0.023205729201436043]]",1204-cd130f9088f23d67bce0e13c9eb329b0
47,"[[0.0, -0.050350286066532135, -0.03356685861945152, -0.01678342930972576, 0.0, -0.01678342930972576, 0.0, 0.0, 0.0, -0.03356685861945152, -0.01678342930972576, -0.01678342930972576, -0.01678342930972576, 0.0, -0.03356685861945152, -0.050350286066532135]]",868-0e117c1684b5ebd6093fc17b468455d1
48,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",897-ae9eedb427f5b2235befd37366fc09d7
49,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012976979836821556, -0.012976979836821556]]",1538-747feda355d60ea3d3aa95c025ddb11e
50,"[[0.0, -0.029862651601433754, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029862651601433754, -0.14931325614452362, -0.14931325614452362, -0.029862651601433754, 0.0, 0.0, -0.029862651601433754, 0.0, -0.029862651601433754]]",1246-b769b7c4664af95672dabb38a2d2589e
51,"[[-0.06170348450541496, 0.0, 0.0, -0.1851104497909546, -0.12340696901082993, 0.0, -0.1851104497909546, -0.1851104497909546, -0.06170348450541496, -0.06170348450541496, -0.6170348525047302, 0.0, 0.0, -0.06170348450541496, -0.12340696901082993, 0.0]]",1792-3953701085a61d85aa3495dcf7538988
52,"[[-0.017779238522052765, -0.017779238522052765, 0.0, 0.0, -0.03555847704410553, 0.0, 0.0, 0.0, 0.0, -0.017779238522052765, -0.017779238522052765, 0.0, -0.03555847704410553, -0.03555847704410553, 0.0, -0.017779238522052765]]",970-a8ec907a5ac10f3960aabf52e1f65f1c
53,"[[-0.9024519920349121, -0.2461232841014862, -0.4102054536342621, -0.6563287377357483, -0.2461232841014862, -0.16408218443393707, -0.16408218443393707, -0.32816436886787415, -0.16408218443393707, -0.08204109221696854, -0.4102054536342621, -0.16408218443393707, -0.08204109221696854, 0.0, -0.6563287377357483, -0.08204109221696854]]",1244-6e3448396e2ee63902a0af2aef147abd
54,"[[0.0, 0.0, 0.0, -0.0037731199990957975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0037731199990957975, 0.0, 0.0, -0.0037731199990957975]]",905-945aba0d61c82ce0703573f9a8cb7028
55,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",943-ae9eedb427f5b2235befd37366fc09d7
56,"[[0.0, -0.013391832821071148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013391832821071148]]",1010-a8ec907a5ac10f3960aabf52e1f65f1c
57,"[[-0.018586812540888786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018586812540888786, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018586812540888786]]",1554-ff0ad3b6b2c6b4ead7e211741c3e6079
58,"[[0.0, 0.0, 0.35581475496292114, 0.025415340438485146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025415340438485146, 0.0, 0.11436903476715088]]",1654-0e117c1684b5ebd6093fc17b468455d1
59,"[[-0.12257992476224899, -0.28601983189582825, -0.28601983189582825, -0.531179666519165, -0.5720396637916565, -0.12257992476224899, 0.0, -0.24515984952449799, -0.531179666519165, -0.24515984952449799, -0.28601983189582825, -0.24515984952449799, -0.040859974920749664, -0.08171994984149933, 0.0, -0.040859974920749664]]",1994-b27ddc7d85a1eaa205375d2905b9ce9a
60,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1707-a8ec907a5ac10f3960aabf52e1f65f1c
61,"[[0.0, 0.0, -0.010811962187290192, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010811962187290192, -0.010811962187290192, -0.021623924374580383, 0.0, 0.0, 0.0, 0.0, -0.010811962187290192]]",1390-bc60740bd945df22b941326f4ee149a4
62,"[[-0.044486403465270996, -0.0667296051979065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",921-a8ec907a5ac10f3960aabf52e1f65f1c
63,"[[0.0, 0.0, 0.12063643336296082, 0.06031821668148041, 0.0, 0.0, 0.0, 0.24127286672592163, 0.24127286672592163, 0.18095465004444122, 0.30159109830856323, 0.36190930008888245, 0.5428639650344849, 0.6031821966171265, 0.06031821668148041, 0.18095465004444122]]",1193-945aba0d61c82ce0703573f9a8cb7028
64,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010954093188047409]]",1459-0e117c1684b5ebd6093fc17b468455d1
65,"[[0.0, 0.0, -0.006077351048588753, 0.0, 0.0, -0.006077351048588753, 0.0, 0.0, -0.006077351048588753, 0.0, -0.006077351048588753, 0.0, 0.0, 0.0, 0.0, -0.006077351048588753]]",1538-b769b7c4664af95672dabb38a2d2589e
66,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01279384084045887]]",1554-c98f23c5f01e87429e00db4566cca238
67,"[[-0.029859963804483414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1782-c98f23c5f01e87429e00db4566cca238
68,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00037762129795737565, 0.00037762129795737565, 0.00018881064897868782, 0.00018881064897868782, 0.00018881064897868782]]",1151-0e117c1684b5ebd6093fc17b468455d1
69,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009111454710364342, 0.0, -0.018222909420728683, 0.0, 0.0, 0.0, 0.0, -0.009111454710364342]]",1274-a8ec907a5ac10f3960aabf52e1f65f1c
70,"[[-0.012941131368279457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0064705656841397285, -0.05823509022593498, -0.025882262736558914]]",958-0e117c1684b5ebd6093fc17b468455d1
71,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2881903648376465, 2.7374045848846436, 1.2881903648376465, 2.0933094024658203, 3.381499767303467, 3.0594520568847656, 2.254333019256592, 2.576380729675293, 1.2881903648376465, 0.9661427736282349]]",662-bdd5ed8479e9b5a359f5163e590bbe05
72,"[[-0.015220623463392258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1082-a6ff91bca049d542a6c0e42e195e2beb
